6261,0,0,0,0,0,2,1,0,0,4,1,1,2,1,0,0,0
4215,107,75,103,67,164,34,104,39,107,29,79,46,98,64,56,35,189
2169,25,24,16,27,14,16,18,22,33,8,10,12,18,8,42,39,27
4219,85,36,91,36,88,18,52,33,70,14,34,28,39,36,63,17,63
4220,0,0,0,0,0,9,11,24,18,16,13,23,18,19,19,0,22
6270,1,0,0,1,1,0,2,5,2,1,3,2,4,7,15,44,0
4223,31,11,19,6,22,5,17,12,25,5,16,5,18,6,0,0,0
2752,40,35,47,42,45,40,38,43,45,28,44,41,41,39,22,42,28
4227,19,11,19,7,20,5,21,7,25,8,7,7,14,9,0,26,0
4231,24,15,34,14,18,6,15,12,19,1,17,23,35,23,23,0,0
6280,5,6,10,10,44,47,41,53,43,55,56,37,54,23,89,50,32
6281,0,0,0,0,0,42,47,39,52,41,48,52,46,64,34,28,39
4235,40,15,75,18,46,7,37,12,50,16,61,32,68,42,5,62,137
4802,37,16,9,21,32,14,21,19,30,6,9,2,9,11,0,0,0
4239,25,21,18,5,24,3,6,6,14,7,6,8,12,15,0,0,11
2194,7,5,14,13,24,12,25,21,20,6,14,14,12,8,32,0,10
4243,39,20,14,10,20,8,12,15,23,5,6,11,12,9,0,0,22
6293,0,0,0,1,1,2,1,1,5,4,2,2,1,3,0,0,0
2199,8,1,10,9,8,2,6,7,12,8,5,6,4,6,54,0,0
6296,0,0,0,0,0,5,3,5,11,8,14,25,17,28,37,57,11
2756,21,14,20,35,37,35,43,46,53,48,56,31,52,71,82,68,120
4251,1,3,13,6,9,8,15,18,8,3,28,16,18,19,0,0,6
6300,1,4,4,9,9,6,15,19,21,24,27,26,40,54,0,0,0
4506,2,1,3,0,1,0,2,0,1,0,0,0,1,1,0,0,0
4255,121,48,113,54,99,48,121,76,174,52,100,52,138,62,75,0,62
6304,5,4,1,8,8,4,9,19,10,8,9,9,17,27,74,35,151
7536,18,26,15,30,29,16,30,27,37,54,34,73,49,41,28,46,10
4516,18,4,23,2,13,2,6,6,14,3,13,6,8,4,23,18,27
3099,20,18,24,18,21,7,7,2,6,6,10,6,8,7,30,19,0
4260,0,0,0,0,0,13,32,20,54,6,30,20,48,12,0,32,0
4806,77,70,117,64,117,57,99,81,201,24,58,35,44,40,0,3,85
4262,0,0,0,0,0,32,51,26,80,33,48,47,94,31,79,27,110
4263,28,19,27,13,19,10,15,7,40,8,18,25,26,11,48,0,35
4264,0,0,0,0,0,14,18,7,21,13,9,12,11,15,0,0,0
6314,0,1,0,1,3,0,3,5,1,2,4,7,4,1,0,7,0
5734,3,3,3,1,6,9,5,14,7,10,15,7,14,18,0,0,0
4271,8,7,9,12,15,8,7,7,8,4,7,8,11,6,0,0,0
2760,25,32,30,30,37,21,36,51,42,26,25,23,20,32,31,30,19
4275,28,57,37,24,27,23,49,13,43,13,30,31,66,25,165,63,60
6324,3,2,4,3,6,2,11,13,7,3,11,9,17,16,44,15,16
4277,0,0,0,0,0,3,12,9,16,1,10,12,17,6,0,0,0
4279,24,9,41,6,27,9,11,9,12,5,16,7,12,9,34,0,0
6329,3,2,5,3,8,2,12,4,3,3,3,6,7,10,22,4,62
4283,26,14,22,23,49,7,31,16,33,9,24,12,22,11,0,0,0
6334,11,6,13,12,15,11,18,26,31,15,21,31,29,33,0,114,103
6339,0,4,7,7,13,12,20,19,22,11,7,8,7,14,0,8,10
4294,22,26,40,24,60,18,29,24,35,17,24,20,40,25,51,0,35
6344,3,5,10,12,12,13,18,13,22,8,12,16,19,15,119,183,152
2764,40,55,46,50,59,65,64,62,60,40,41,51,44,45,31,45,0
4299,7,6,25,29,17,10,16,12,16,8,15,14,5,13,152,1,74
4300,0,0,0,0,0,0,0,0,0,0,0,51,64,86,0,0,0
4301,0,0,0,0,0,0,0,0,0,0,0,23,39,25,0,0,24
4302,0,0,0,0,0,0,0,0,0,0,0,133,151,169,117,57,38
4303,0,0,0,0,0,0,0,0,0,0,0,35,37,44,0,128,170
4304,0,0,0,0,0,0,0,0,0,0,0,39,84,40,69,27,0
4305,0,0,0,0,0,0,0,0,0,0,0,5,12,7,19,42,96
4306,0,0,0,0,0,0,0,0,0,0,0,18,11,20,79,175,76
4307,0,0,0,0,0,0,0,0,0,0,0,19,21,29,0,0,4
4308,0,0,0,0,0,0,0,0,0,0,0,4,7,3,0,4,0
4311,0,0,0,0,0,0,0,0,0,0,0,5,3,9,0,0,0
4312,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0
4313,0,0,0,0,0,0,0,0,0,0,0,105,110,126,276,350,460
4314,0,0,0,0,0,0,0,0,0,0,0,48,60,59,15,116,14
4315,0,0,0,0,0,0,0,0,0,0,0,131,128,115,74,312,34
4316,0,0,0,0,0,0,0,0,0,0,0,24,25,36,25,97,48
4317,0,0,0,0,0,0,0,0,0,0,0,22,20,30,60,0,18
4318,0,0,0,0,0,0,0,0,0,0,0,35,51,53,8,20,37
4319,0,0,0,0,0,0,0,0,0,0,0,20,22,25,22,80,8
8416,0,0,0,0,0,41,57,51,88,51,53,66,44,47,49,108,33
2768,16,22,24,26,28,29,18,25,17,21,24,23,22,36,31,41,8
4322,0,0,0,0,0,0,0,0,0,0,0,15,25,14,8,21,24
4323,0,0,0,0,0,0,0,0,0,0,0,12,21,19,29,12,54
4324,0,0,0,0,0,0,0,0,0,0,0,14,9,14,40,0,0
4325,0,0,0,0,0,0,0,0,0,0,0,10,4,10,0,0,21
4326,0,0,0,0,0,0,0,0,0,0,0,9,18,3,0,46,61
4327,0,0,0,0,0,0,0,0,0,0,0,9,11,13,50,43,114
4328,0,0,0,0,0,0,0,0,0,0,0,44,65,54,17,67,168
4329,0,0,0,0,0,0,0,0,0,0,0,12,16,17,12,3,94
4330,0,0,0,0,0,0,0,0,0,0,0,20,36,37,40,65,67
4331,0,0,0,0,0,0,0,0,0,0,0,2,2,4,35,35,0
4332,0,0,0,0,0,0,0,0,0,0,0,2,6,4,116,78,166
4333,0,0,0,0,0,0,0,0,0,0,0,44,58,56,51,194,165
4334,0,0,0,0,0,0,0,0,0,0,0,10,14,15,11,39,28
4335,0,0,0,0,0,0,0,0,0,0,0,5,12,14,59,0,55
4336,0,0,0,0,0,0,0,0,0,0,0,16,7,9,89,43,0
